ENSGID	CHR	START	END	TSS	STRAND	NAME
ENSG00000228594	1	1533392	1535515	1535515	-	FNDC10
ENSG00000197530	1	1550834	1565985	1550834	+	MIB2
ENSG00000189409	1	1567542	1570639	1567542	+	MMP23B
ENSG00000248333	1	1570601	1590473	1590473	-	CDK11B
ENSG00000189339	1	1590990	1624234	1624234	-	SLC35E2B
ENSG00000008128	1	1633818	1655796	1655796	-	CDK11A
ENSG00000215790	1	1666129	1670996	1670996	-	SLC35E2A
ENSG00000008130	1	1682671	1711896	1711896	-	NADK
ENSG00000078369	1	1716724	1823731	1823731	-	GNB1
ENSG00000169885	1	1846547	1848735	1846547	+	CALML6
ENSG00000178821	1	1849029	1850718	1850718	-	TMEM52
ENSG00000142609	1	1853390	1935276	1935276	-	CFAP74
ENSG00000187730	1	1950768	1962197	1950768	+	GABRD
ENSG00000067606	1	1981850	2116834	1981850	+	PRKCZ
ENSG00000162585	1	2115900	2144159	2144159	-	FAAP20
ENSG00000157933	1	2158827	2241652	2158827	+	SKI
ENSG00000116151	1	2252692	2323146	2323146	-	MORN1
ENSG00000157916	1	2323214	2336881	2323214	+	RER1
ENSG00000157911	1	2335403	2345236	2345236	-	PEX10
ENSG00000149527	1	2357419	2436971	2357419	+	PLCH2
ENSG00000157881	1	2439976	2458036	2458036	-	PANK4
ENSG00000197921	1	2460184	2461702	2461702	-	HES5
ENSG00000157873	1	2487078	2496821	2487078	+	TNFRSF14
ENSG00000157870	1	2517930	2522908	2517930	+	PRXL2B
ENSG00000142606	1	2522078	2564455	2564455	-	MMEL1
ENSG00000215912	1	2568425	2718258	2718258	-	TTC34
ENSG00000169717	1	2938031	2939467	2938031	+	ACTRT2
ENSG00000142611	1	2985732	3355185	2985732	+	PRDM16
ENSG00000130762	1	3371229	3397677	3371229	+	ARHGEF16
ENSG00000162591	1	3404515	3528072	3528072	-	MEGF6
ENSG00000158109	1	3541579	3546691	3541579	+	TPRG1L
ENSG00000116213	1	3547331	3569325	3569325	-	WRAP73
ENSG00000078900	1	3569080	3652765	3569080	+	TP73
ENSG00000162592	1	3663024	3688209	3663024	+	CCDC27
ENSG00000235169	1	3689313	3692546	3689313	+	SMIM1
ENSG00000130764	1	3695123	3713062	3713062	-	LRRC47
ENSG00000116198	1	3728650	3773960	3773960	-	CEP104
ENSG00000169598	1	3773831	3801993	3773831	+	DFFB
ENSG00000198912	1	3805689	3816857	3816857	-	C1orf174
ENSG00000196581	1	4714669	4852594	4714669	+	AJAP1
ENSG00000131697	1	5922871	6052533	6052533	-	NPHP4
ENSG00000069424	1	6050987	6161253	6050987	+	KCNAB2
ENSG00000116254	1	6161847	6240381	6240381	-	CHD5
ENSG00000116251	1	6245080	6269449	6269449	-	RPL22
ENSG00000158286	1	6265535	6281359	6265535	+	RNF207
ENSG00000116237	1	6281253	6296032	6296032	-	ICMT
ENSG00000173673	1	6304239	6305638	6304239	+	HES3
ENSG00000158292	1	6307413	6321158	6321158	-	GPR153
ENSG00000097021	1	6324329	6453827	6453827	-	ACOT7
ENSG00000069812	1	6472478	6484730	6484730	-	HES2
ENSG00000187017	1	6484836	6521427	6484836	+	ESPN
ENSG00000215788	1	6520846	6526235	6526235	-	TNFRSF25
ENSG00000171680	1	6527182	6580134	6580134	-	PLEKHG5
ENSG00000162408	1	6581407	6614573	6614573	-	NOL9
ENSG00000173662	1	6615367	6639815	6615367	+	TAS1R1
ENSG00000204859	1	6640054	6649340	6640054	+	ZBTB48
ENSG00000162413	1	6650784	6674667	6674667	-	KLHL21
ENSG00000116273	1	6673791	6684090	6673791	+	PHF13
ENSG00000041988	1	6684928	6695646	6684928	+	THAP3
ENSG00000007923	1	6694228	6761984	6761984	-	DNAJC11
ENSG00000171735	1	6845514	7829766	6845514	+	CAMTA1
ENSG00000049245	1	7831356	7841492	7831356	+	VAMP3
ENSG00000049246	1	7844351	7905237	7844351	+	PER3
ENSG00000049247	1	7903143	7913572	7913572	-	UTS2
ENSG00000049249	1	7975931	8003225	8003225	-	TNFRSF9
ENSG00000116288	1	8014351	8045565	8014351	+	PARK7
ENSG00000116285	1	8064464	8086369	8086369	-	ERRFI1
ENSG00000162426	1	8378174	8404227	8378174	+	SLC45A1
ENSG00000142599	1	8412457	8908980	8908980	-	RERE
ENSG00000074800	1	8921059	8939249	8939249	-	ENO1
ENSG00000131686	1	9005926	9035151	9005926	+	CA6
ENSG00000197241	1	9063032	9086482	9086482	-	SLC2A7
ENSG00000142583	1	9095165	9148537	9148537	-	SLC2A5
ENSG00000180758	1	9160364	9189161	9189161	-	GPR157
ENSG00000049239	1	9294833	9331396	9294833	+	H6PD
ENSG00000171621	1	9352953	9429591	9352953	+	SPSB1
ENSG00000171612	1	9599524	9645231	9599524	+	SLC25A33
ENSG00000188807	1	9648969	9674935	9648969	+	TMEM201
ENSG00000171608	1	9689947	9789172	9689947	+	PIK3CD
ENSG00000179840	1	9712668	9714644	9714644	-	PIK3CD-AS1
ENSG00000171603	1	9788984	9884042	9884042	-	CLSTN1
ENSG00000178585	1	9908334	9970394	9970394	-	CTNNBIP1
ENSG00000162441	1	9982171	10003465	10003465	-	LZIC
ENSG00000173614	1	10003486	10045559	10003486	+	NMNAT1
ENSG00000162444	1	10057264	10076079	10057264	+	RBP7
ENSG00000130939	1	10092890	10241297	10092890	+	UBE4B
ENSG00000054523	1	10270628	10441661	10270628	+	KIF1B
ENSG00000142657	1	10458649	10480568	10458649	+	PGD
ENSG00000175279	1	10490490	10502865	10490490	+	CENPS
ENSG00000241563	1	10510088	10512055	10510088	+	CORT
ENSG00000160049	1	10516579	10532586	10532586	-	DFFA
ENSG00000142655	1	10532345	10690815	10532345	+	PEX14
ENSG00000130940	1	10696661	10856707	10856707	-	CASZ1
ENSG00000175262	1	11006528	11042133	11042133	-	C1orf127
ENSG00000120948	1	11072401	11090585	11072401	+	TARDBP
ENSG00000009724	1	11082066	11107296	11107296	-	MASP2
ENSG00000116649	1	11114641	11120077	11120077	-	SRM
ENSG00000171824	1	11126675	11159926	11159926	-	EXOSC10
ENSG00000198793	1	11166592	11322613	11322613	-	MTOR
ENSG00000171819	1	11249412	11256038	11249412	+	ANGPTL7
ENSG00000120942	1	11333255	11356106	11333255	+	UBIAD1
ENSG00000204624	1	11539212	11597608	11539212	+	DISP3
ENSG00000116661	1	11697075	11715842	11715842	-	FBXO2
ENSG00000132879	1	11714432	11723384	11714432	+	FBXO44
ENSG00000116663	1	11724257	11734411	11724257	+	FBXO6
ENSG00000116670	1	11718975	11751868	11751868	-	MAD2L2
ENSG00000162490	1	11751767	11785914	11751767	+	DRAXIN
ENSG00000177674	1	11796141	11814859	11796141	+	AGTRAP
ENSG00000215910	1	11821844	11849642	11821844	+	C1orf167
ENSG00000177000	1	11845780	11866512	11866512	-	MTHFR
ENSG00000011021	1	11866153	11908136	11866153	+	CLCN6
ENSG00000175206	1	11905766	11908402	11908402	-	NPPA
ENSG00000120937	1	11917521	11919002	11919002	-	NPPB
ENSG00000116685	1	11979648	11986485	11986485	-	KIAA2013
ENSG00000083444	1	11994262	12035595	11994262	+	PLOD1
ENSG00000116688	1	12040238	12075268	12040238	+	MFN2
ENSG00000116691	1	12079523	12092102	12079523	+	MIIP
ENSG00000120949	1	12123360	12204264	12123360	+	TNFRSF8
ENSG00000028137	1	12227048	12269285	12227048	+	TNFRSF1B
ENSG00000048707	1	12290087	12572099	12290087	+	VPS13D
ENSG00000162496	1	12627939	12678216	12678216	-	DHRS3
ENSG00000204518	1	12704104	12727087	12704104	+	AADACL4
ENSG00000188984	1	12776113	12788727	12776113	+	AADACL3
ENSG00000157330	1	12806148	12823847	12806148	+	CFAP107
ENSG00000116726	1	12833881	12838049	12833881	+	PRAMEF12
ENSG00000116721	1	12851546	12856777	12851546	+	PRAMEF1
ENSG00000204513	1	12884468	12891264	12891264	-	PRAMEF11
ENSG00000179172	1	12907230	12908573	12908573	-	HNRNPCL1
ENSG00000120952	1	12916941	12921764	12916941	+	PRAMEF2
ENSG00000243073	1	12939033	12946025	12946025	-	PRAMEF4
ENSG00000187545	1	12952727	12958101	12958101	-	PRAMEF10
ENSG00000204510	1	12976430	12980571	12976430	+	PRAMEF7
ENSG00000232423	1	12998302	13007406	13007406	-	PRAMEF6
ENSG00000204508	1	13035543	13038381	13035543	+	PRAMEF22
ENSG00000229571	1	13216356	13219581	13219581	-	PRAMEF26
ENSG00000204503	1	13328196	13331692	13331692	-	PRAMEF3
ENSG00000204502	1	13359819	13369057	13359819	+	PRAMEF5
ENSG00000182330	1	13386646	13390765	13390765	-	PRAMEF8
ENSG00000204501	1	13421176	13428191	13421176	+	PRAMEF9
ENSG00000204491	1	13474689	13477522	13477522	-	PRAMEF18
ENSG00000204488	1	13495254	13498260	13495254	+	PRAMEF16
ENSG00000204486	1	13516066	13526943	13516066	+	PRAMEF21
ENSG00000157358	1	13641973	13648988	13641973	+	PRAMEF15
ENSG00000204481	1	13668269	13673511	13673511	-	PRAMEF14
ENSG00000204480	1	13694889	13698405	13698405	-	PRAMEF19
ENSG00000204479	1	13716092	13719089	13716092	+	PRAMEF17
ENSG00000204478	1	13736907	13747803	13736907	+	PRAMEF20
ENSG00000162494	1	13801441	13840498	13840498	-	LRRC38
ENSG00000162493	1	13909960	13944452	13909960	+	PDPN
ENSG00000116731	1	14026683	14151574	14026683	+	PRDM2
ENSG00000189337	1	14219287	15444539	14219287	+	KAZN
ENSG00000171729	1	15479028	15546974	15479028	+	TMEM51
ENSG00000204464	1	15490840	15497813	15497813	-	TMEM51-AS2
ENSG00000142621	1	15563017	15726779	15563017	+	FHAD1
ENSG00000142634	1	15736384	15756835	15736384	+	EFHD2
ENSG00000162438	1	15764938	15775737	15764938	+	CTRC
ENSG00000142615	1	15783223	15798586	15783223	+	CELA2A
ENSG00000215704	1	15792404	15817890	15792404	+	CELA2B
ENSG00000132906	1	15817327	15853029	15853029	-	CASP9
ENSG00000116138	1	15853308	15918874	15853308	+	DNAJC16
ENSG00000116771	1	15898194	15911546	15911546	-	AGMAT
ENSG00000197312	1	15943953	15995539	15943953	+	DDI2
ENSG00000215695	1	15986208	15988528	15986208	+	RSC1A1
ENSG00000116786	1	16010815	16061264	16010815	+	PLEKHM2
ENSG00000162461	1	16062753	16067887	16062753	+	SLC25A34
ENSG00000162460	1	16068994	16074477	16068994	+	TMEM82
ENSG00000162458	1	16083102	16113089	16083102	+	FBLIM1
ENSG00000065526	1	16162590	16266951	16162590	+	SPEN
ENSG00000116809	1	16268364	16302627	16302627	-	ZBTB17
ENSG00000183888	1	16330731	16335302	16330731	+	SRARP
ENSG00000173641	1	16340523	16346089	16346089	-	HSPB7
ENSG00000186510	1	16345370	16360545	16345370	+	CLCNKA
ENSG00000184908	1	16366747	16383806	16366747	+	CLCNKB
ENSG00000185519	1	16384264	16400146	16400146	-	FAM131C
ENSG00000142627	1	16450832	16482564	16482564	-	EPHA2
ENSG00000142632	1	16524349	16539147	16539147	-	ARHGEF19
ENSG00000204377	1	16555368	16556038	16556038	-	C1orf134
ENSG00000132881	1	16558187	16563678	16563678	-	CPLANE2
ENSG00000037637	1	16573335	16678975	16678975	-	FBXO42
ENSG00000055070	1	16679070	16724640	16679070	+	SZRD1
ENSG00000187144	1	16713612	16763919	16763919	-	SPATA21
ENSG00000157191	1	16767216	16786573	16767216	+	NECAP2
ENSG00000268674	1	16865561	16866070	16865561	+	AL355149.2
ENSG00000219481	1	16888814	16940057	16940057	-	NBPF1
ENSG00000237847	1	16999498	17000007	16999498	+	AL137798.1
ENSG00000268991	1	17060447	17060956	17060956	-	AL021920.2
ENSG00000058453	1	17066768	17299459	17066768	+	CROCC
ENSG00000117122	1	17300997	17307127	17307127	-	MFAP2
ENSG00000159363	1	17312453	17338423	17338423	-	ATP13A2
ENSG00000117118	1	17345159	17380527	17380527	-	SDHB
ENSG00000117115	1	17393256	17445946	17445946	-	PADI2
ENSG00000142623	1	17531623	17572502	17531623	+	PADI1
ENSG00000142619	1	17575593	17610728	17575593	+	PADI3
ENSG00000159339	1	17634690	17690499	17634690	+	PADI4
ENSG00000179051	1	17733256	17766173	17766173	-	RCC2
ENSG00000074964	1	17866193	18024369	17866193	+	ARHGEF10L
ENSG00000117148	1	18081828	18153558	18081828	+	ACTL8
ENSG00000117154	1	18434292	18704977	18434292	+	IGSF21
ENSG00000179023	1	18807424	18812468	18807424	+	KLHDC7A
ENSG00000009709	1	18957340	19075360	18957340	+	PAX7
ENSG00000179002	1	19166093	19186154	19186154	-	TAS1R2
ENSG00000159423	1	19197924	19229218	19229218	-	ALDH4A1
ENSG00000169991	1	19230774	19283170	19283170	-	IFFO2
ENSG00000127481	1	19401004	19536760	19536760	-	UBR4
ENSG00000127463	1	19542154	19578046	19578046	-	EMC1
ENSG00000053372	1	19578299	19586622	19578299	+	MRTO4
ENSG00000162482	1	19609067	19615264	19615264	-	AKR7A3
ENSG00000053371	1	19630459	19638638	19638638	-	AKR7A2
ENSG00000040487	1	19638820	19655794	19638820	+	SLC66A1
ENSG00000077549	1	19665269	19812033	19812033	-	CAPZB
ENSG00000173436	1	19810897	19956315	19810897	+	MICOS10
ENSG00000158747	1	19923473	19984949	19923473	+	NBL1
ENSG00000158748	1	19991368	20007459	19991368	+	HTR6
ENSG00000162542	1	20008733	20126438	20126438	-	TMCO4
ENSG00000178828	1	20140522	20141776	20141776	-	RNF186
ENSG00000169914	1	20208888	20239438	20208888	+	OTUD3
ENSG00000188784	1	20246502	20250110	20250110	-	PLA2G2E
ENSG00000188257	1	20301924	20306909	20306909	-	PLA2G2A
ENSG00000127472	1	20354672	20418404	20354672	+	PLA2G5
ENSG00000117215	1	20438432	20446059	20446059	-	PLA2G2D
ENSG00000158786	1	20465816	20476874	20465816	+	PLA2G2F
ENSG00000187980	1	20487746	20513011	20513011	-	PLA2G2C
ENSG00000162543	1	20512589	20522543	20512589	+	UBXN10
ENSG00000158816	1	20617368	20686011	20617368	+	VWA5B1
ENSG00000162545	1	20808884	20812703	20812703	-	CAMK2N1
ENSG00000090432	1	20825941	20834644	20834644	-	MUL1
ENSG00000183114	1	20879066	20881513	20879066	+	FAM43B
ENSG00000158825	1	20915579	20945396	20915579	+	CDA
ENSG00000158828	1	20959951	20978004	20959951	+	PINK1
ENSG00000244038	1	20978260	20988037	20988037	-	DDOST
ENSG00000117245	1	20990507	21044510	21044510	-	KIF17
ENSG00000189410	1	21046224	21059330	21059330	-	SH2D5
ENSG00000127483	1	21066759	21113816	21113816	-	HP1BP3
ENSG00000075151	1	21132785	21503778	21503778	-	EIF4G3
ENSG00000117298	1	21543740	21672065	21672065	-	ECE1
ENSG00000142794	1	21766621	21811498	21766621	+	NBPF3
ENSG00000162551	1	21835890	21904903	21835890	+	ALPL
ENSG00000076864	1	21922714	21995850	21995850	-	RAP1GAP
ENSG00000090686	1	22004791	22110099	22110099	-	USP48
ENSG00000187942	1	22138758	22151718	22138758	+	LDLRAD2
ENSG00000142798	1	22148737	22263803	22263803	-	HSPG2
ENSG00000219073	1	22303515	22325135	22303515	+	CELA3B
ENSG00000142789	1	22328150	22339035	22328150	+	CELA3A
ENSG00000070831	1	22379120	22427853	22379120	+	CDC42
ENSG00000162552	1	22443806	22470462	22470462	-	WNT4
ENSG00000184677	1	22755331	22857650	22755331	+	ZBTB40
ENSG00000070886	1	22889982	22930088	22889982	+	EPHA8
ENSG00000173372	1	22961570	22966171	22961570	+	C1QA
ENSG00000159189	1	22969507	22974603	22969507	+	C1QC
ENSG00000173369	1	22979255	22988130	22979255	+	C1QB
ENSG00000133216	1	23037332	23247993	23037332	+	EPHB2
ENSG00000215906	1	23279536	23299359	23299359	-	LACTBL1
ENSG00000227868	1	23337327	23345593	23345593	-	TEX46
ENSG00000004487	1	23345936	23410182	23345936	+	KDM1A
ENSG00000169641	1	23410523	23504301	23504301	-	LUZP1
ENSG00000179546	1	23518388	23543995	23543995	-	HTR1D
ENSG00000125944	1	23630264	23670829	23670829	-	HNRNPR
ENSG00000125945	1	23685941	23696329	23696329	-	ZNF436
ENSG00000249087	1	23695432	23698332	23695432	+	ZNF436-AS1
ENSG00000204219	1	23707402	23751241	23751241	-	TCEA3
ENSG00000088280	1	23755056	23811061	23811061	-	ASAP3
ENSG00000007968	1	23832930	23857725	23857725	-	E2F2
ENSG00000117318	1	23884417	23885992	23885992	-	ID3
ENSG00000197880	1	23907985	23967058	23907985	+	MDS2
ENSG00000142676	1	24018232	24023325	24018232	+	RPL11
ENSG00000011007	1	24069938	24088549	24069938	+	ELOA
ENSG00000057757	1	24104908	24114722	24104908	+	PITHD1
ENSG00000011009	1	24117635	24122029	24117635	+	LYPLA2
ENSG00000117308	1	24122089	24127271	24127271	-	GALE
ENSG00000117305	1	24128375	24165110	24165110	-	HMGCL
ENSG00000179163	1	24171567	24194780	24194780	-	FUCA1
ENSG00000188822	1	24197005	24239852	24239852	-	CNR2
ENSG00000189266	1	24283329	24289952	24283329	+	PNRC2
ENSG00000188529	1	24290837	24307417	24307417	-	SRSF10
ENSG00000142661	1	24382525	24438625	24438625	-	MYOM3
ENSG00000142677	1	24446261	24469630	24469630	-	IL22RA1
ENSG00000185436	1	24480658	24514449	24514449	-	IFNLR1
ENSG00000158055	1	24526048	24690972	24526048	+	GRHL3
ENSG00000001460	1	24683489	24743424	24743424	-	STPG1
ENSG00000001461	1	24742292	24799466	24742292	+	NIPAL3
ENSG00000117602	1	24828841	24867530	24828841	+	RCAN3
ENSG00000184454	1	24882578	24935819	24882578	+	NCMAP
ENSG00000133226	1	24958207	24999772	24958207	+	SRRM1
ENSG00000169504	1	25071873	25170812	25071873	+	CLIC4
ENSG00000020633	1	25226002	25291612	25291612	-	RUNX3
ENSG00000117614	1	25548767	25558993	25558993	-	SYF2
ENSG00000117616	1	25568740	25664704	25664704	-	RSRP1
ENSG00000187010	1	25598884	25656936	25598884	+	RHD
ENSG00000183726	1	25664808	25688852	25664808	+	TMEM50A
ENSG00000188672	1	25688740	25756683	25756683	-	RHCE
ENSG00000204178	1	25757349	25826700	25757349	+	MACO1
ENSG00000157978	1	25870097	25895377	25870097	+	LDLRAP1
ENSG00000117643	1	25943282	26112697	25943282	+	MAN1C1
ENSG00000162430	1	26126684	26144712	26126684	+	SELENON
ENSG00000117640	1	26145131	26159433	26145131	+	MTFR1L
ENSG00000127423	1	26158404	26185949	26185949	-	AUNIP
ENSG00000182749	1	26187975	26202199	26202199	-	PAQR7
ENSG00000117632	1	26210672	26233482	26233482	-	STMN1
ENSG00000158006	1	26286258	26324608	26324608	-	PAFAH2
ENSG00000158008	1	26346375	26362955	26346375	+	EXTL1
ENSG00000158014	1	26363743	26372609	26372609	-	SLC30A2
ENSG00000158022	1	26377792	26394927	26394927	-	TRIM63
ENSG00000175087	1	26437656	26452046	26437656	+	PDIK1L
ENSG00000197245	1	26485570	26490453	26485570	+	FAM110D
ENSG00000142684	1	26496399	26497364	26496399	+	ZNF593
ENSG00000142675	1	26503975	26516375	26503975	+	CNKSR1
ENSG00000188782	1	26517052	26529459	26517052	+	CATSPER4
ENSG00000130695	1	26560691	26605299	26560691	+	CEP85
ENSG00000142669	1	26606577	26608013	26606577	+	SH3BGRL3
ENSG00000158062	1	26607819	26644854	26644854	-	UBXN11
ENSG00000169442	1	26644449	26647014	26644449	+	CD52
ENSG00000176092	1	26648189	26686571	26686571	-	CRYBG2
ENSG00000176083	1	26688125	26701013	26701013	-	ZNF683
ENSG00000131914	1	26737308	26756219	26737308	+	LIN28A
ENSG00000117682	1	26758773	26797797	26758773	+	DHDDS
ENSG00000198830	1	26798931	26803133	26798931	+	HMGN2
ENSG00000117676	1	26856252	26901521	26856252	+	RPS6KA1
ENSG00000117713	1	27019727	27108595	27019727	+	ARID1A
ENSG00000060642	1	27113545	27127150	27113545	+	PIGV
ENSG00000204160	1	27153179	27184095	27153179	+	ZDHHC18
ENSG00000175793	1	27189640	27190947	27189640	+	SFN
ENSG00000142751	1	27202623	27216774	27216774	-	GPN2
ENSG00000198746	1	27216979	27226958	27226958	-	GPATCH3
ENSG00000090273	1	27226729	27273362	27226729	+	NUDC
ENSG00000131910	1	27237980	27240466	27240466	-	NR0B2
ENSG00000175707	1	27276053	27286959	27286959	-	KDF1
ENSG00000253368	1	27320183	27327377	27320183	+	TRNP1
ENSG00000158246	1	27331511	27339341	27339341	-	TENT5B
ENSG00000090020	1	27425300	27493472	27493472	-	SLC9A1
ENSG00000142784	1	27561123	27635127	27561123	+	WDTC1
ENSG00000186501	1	27648636	27662891	27648636	+	TMEM222
ENSG00000142765	1	27668511	27680428	27668511	+	SYTL1
ENSG00000142733	1	27681675	27693452	27693452	-	MAP3K6
ENSG00000142748	1	27695601	27701315	27701315	-	FCN3
ENSG00000174950	1	27705666	27709823	27709823	-	CD164L2
ENSG00000181773	1	27719126	27722318	27719126	+	GPR3
ENSG00000158195	1	27730734	27816678	27816678	-	WASF2
ENSG00000126705	1	27860546	27930942	27930942	-	AHDC1
ENSG00000000938	1	27938575	27961696	27961696	-	FGR
ENSG00000126709	1	27992575	27998723	27998723	-	IFI6
ENSG00000009780	1	28052472	28089627	28052472	+	FAM76A
ENSG00000117758	1	28099730	28150954	28099730	+	STX12
ENSG00000117751	1	28157293	28178187	28157293	+	PPP1R8
ENSG00000130775	1	28199054	28213196	28199054	+	THEMIS2
ENSG00000117748	1	28218035	28241257	28241257	-	RPA2
ENSG00000130768	1	28261511	28285668	28261511	+	SMPDL3B
ENSG00000158156	1	28286099	28294604	28286099	+	XKR8
ENSG00000158161	1	28296855	28415148	28415148	-	EYA3
ENSG00000169403	1	28473677	28520447	28520447	-	PTAFR
ENSG00000126698	1	28525967	28559540	28559540	-	DNAJC8
ENSG00000130770	1	28562620	28573417	28562620	+	ATP5IF1
ENSG00000130766	1	28586029	28609002	28586029	+	SESN2
ENSG00000130772	1	28655513	28662476	28655513	+	MED18
ENSG00000204138	1	28696093	28826876	28696093	+	PHACTR4
ENSG00000180198	1	28832455	28865812	28832455	+	RCC1
ENSG00000180098	1	28879597	28905057	28879597	+	TRNAU1AP
ENSG00000120656	1	28914341	28974803	28974803	-	TAF12
ENSG00000188060	1	28918712	28921961	28918712	+	RAB42
ENSG00000162419	1	28995290	29045865	28995290	+	GMEB1
ENSG00000198492	1	29063133	29096287	29063133	+	YTHDF2
ENSG00000116329	1	29138682	29197779	29138682	+	OPRD1
ENSG00000159023	1	29213603	29446558	29213603	+	EPB41
ENSG00000253304	1	29445941	29450415	29450415	-	TMEM200B
ENSG00000116350	1	29474255	29508412	29508412	-	SRSF4
ENSG00000116353	1	29519169	29557454	29557454	-	MECR
ENSG00000060656	1	29563028	29653325	29563028	+	PTPRU
ENSG00000162510	1	31184124	31196432	31196432	-	MATN1
ENSG00000162511	1	31205316	31230621	31230621	-	LAPTM5
ENSG00000162512	1	31342313	31381605	31381605	-	SDC3
ENSG00000134644	1	31404353	31538838	31538838	-	PUM1
ENSG00000084628	1	31652592	31712734	31712734	-	NKAIN1
ENSG00000060688	1	31732415	31769635	31769635	-	SNRNP40
ENSG00000121766	1	31769829	31837800	31769829	+	ZCCHC17
ENSG00000121769	1	31838100	31849697	31849697	-	FABP3
ENSG00000168528	1	31882412	31907527	31882412	+	SERINC2
ENSG00000142910	1	32042086	32053287	32042086	+	TINAGL1
ENSG00000121764	1	32083287	32098119	32083287	+	HCRTR1
ENSG00000162517	1	32095467	32110497	32110497	-	PEF1
ENSG00000084636	1	32117864	32169920	32169920	-	COL16A1
ENSG00000121753	1	32192718	32230494	32230494	-	ADGRB2
ENSG00000134668	1	32256023	32281623	32281623	-	SPOCD1
ENSG00000184007	1	32372022	32410457	32410457	-	PTP4A2
ENSG00000121774	1	32479469	32526451	32479469	+	KHDRBS1
ENSG00000121775	1	32537632	32568467	32537632	+	TMEM39B
ENSG00000025800	1	32573657	32642164	32573657	+	KPNA6
ENSG00000084652	1	32645276	32663886	32645276	+	TXLNA
ENSG00000160050	1	32666196	32671054	32666196	+	CCDC28B
ENSG00000160051	1	32671272	32674283	32671272	+	IQCC
ENSG00000222046	1	32674690	32681793	32674690	+	DCDC2B
ENSG00000160055	1	32680073	32687960	32687960	-	TMEM234
ENSG00000084623	1	32686678	32710998	32686678	+	EIF3I
ENSG00000183615	1	32712823	32714457	32712823	+	FAM167B
ENSG00000182866	1	32716845	32751766	32716845	+	LCK
ENSG00000116478	1	32757684	32799236	32757684	+	HDAC1
ENSG00000175130	1	32799440	32801834	32801834	-	MARCKSL1
ENSG00000162526	1	32817122	32829913	32817122	+	TSSK3
ENSG00000225828	1	32826871	32829879	32829879	-	FAM229A
ENSG00000160058	1	32830234	32860332	32860332	-	BSDC1
ENSG00000273274	1	32930673	32962287	32930673	+	ZBTB8B
ENSG00000160062	1	33005028	33071542	33005028	+	ZBTB8A
ENSG00000176261	1	33065773	33116504	33116504	-	ZBTB8OS
ENSG00000162521	1	33116743	33151812	33116743	+	RBBP4
ENSG00000162520	1	33145507	33169197	33169197	-	SYNC
ENSG00000162522	1	33207431	33240571	33207431	+	KIAA1522
ENSG00000134684	1	33240838	33283632	33283632	-	YARS1
ENSG00000116497	1	33282368	33324476	33282368	+	S100PBP
ENSG00000160097	1	33327869	33338083	33338083	-	FNDC5
ENSG00000121905	1	33351595	33364042	33351595	+	HPCA
ENSG00000121900	1	33360195	33367039	33367039	-	TMEM54
ENSG00000116514	1	33402046	33430410	33430410	-	RNF19B
