hgnc_id	GeneSymbol	gene	TSSD	length	CDS_length	pLI	LOEUF	ABC_count	ABC_length_per_type	Roadmap_count	Roadmap_length_per_type	promoter_count	connect_decile	connect_quantile	connectedness	PPI_degree_decile	PPI_degree_quantile	PPI_degree_cat	TF	HI	hs
HGNC:11918	ENSG00000186827	TNFRSF4	40	2.813	0.834	0.00015133	1.322	48	2.39875	84	2.13333333333333	2	7	4	1	5	3	1	0	0	8.33956331023925e-05
HGNC:24188	ENSG00000078808	SDF4	41	15.158	1.068	0.0091042	0.764	126	2.61145238095238	42	0.757142857142857	7	6	3	1	8	4	1	0	0	0.039977046008769
HGNC:17978	ENSG00000176022	B3GALT6	41	2.804	0.99	0.022667	1.425	126	2.61154761904762	69	0.92463768115942	1	4	2	1	7	4	1	0	0	0.0217626736756979
HGNC:32308	ENSG00000184163	C1QTNF12	41	4.276	0.909	6.2063e-08	1.64	12	2.29541666666667	103	2.4	1	4	2	1	0	0	0	0	0	9.96636320148376e-05
HGNC:19268	ENSG00000160087	UBE2J2	41	19.955	0.828	0.90974	0.391	129	2.50171317829457	74	0.881081081081081	4	7	4	1	7	4	1	0	1	0.197912680108081
HGNC:10601	ENSG00000162572	SCNN1D	42	11.593	2.409	1.6507e-33	1.586	6	1.53583333333333	26	0.392307692307692	1	2	1	1	7	4	1	0	0	0.000398877188472043
HGNC:16754	ENSG00000131584	ACAP3	42	17.219	2.505	4.4135e-06	0.586	119	1.84781512605042	50	1.208	5	10	5	1	2	1	1	0	0	0.0280943811436071
HGNC:26914	ENSG00000169972	PUSL1	42	3.08	0.912	2.6543e-20	1.977	120	1.8498	53	1.07924528301887	3	8	4	1	2	1	1	0	0	0.000483616923517185
HGNC:26052	ENSG00000127054	INTS11	42	13.102	1.821	5.991e-14	0.994	124	2.13962903225806	26	0.407692307692308	4	8	4	1	9	5	1	0	0	0.000360742989512971
HGNC:28116	ENSG00000224051	CPTP	42	4.14	0.645	0.02254	1.427	124	2.13962903225806	47	0.991489361702128	4	10	5	1	2	1	1	0	0	0.00826256425767655
HGNC:15661	ENSG00000169962	TAS1R3	42	4.034	2.559	6.7868e-25	1.563	60	2.42813333333333	41	0.307317073170732	2	0	0	0	3	2	1	0	0	0.000425655451591422
HGNC:3084	ENSG00000107404	DVL1	42	14.142	2.088	3.7313e-06	0.733	113	2.13478761061947	81	1.06913580246914	2	9	5	1	9	5	1	0	0	0.0149909007898431
HGNC:7542	ENSG00000162576	MXRA8	42	9.088	1.353	1.6738e-07	1.13	89	2.42758426966292	110	6.28545454545455	9	10	5	1	1	1	1	0	0	0.00362995490649717
HGNC:24114	ENSG00000175756	AURKAIP1	42	1.477	0.6	9.9678e-05	1.77	121	1.49672727272727	61	0.79016393442623	5	8	4	1	10	5	1	0	0	5.37932867097008e-05
HGNC:20570	ENSG00000221978	CCNL2	43	13.624	1.563	0.16094	0.47	117	1.74361538461538	78	0.351282051282051	3	10	5	1	7	4	1	0	0	0.048128451635831
HGNC:14478	ENSG00000242485	MRPL20	43	5.384	0.468	2.7079e-06	1.817	118	1.76853389830508	0	0	3	0	0	0	10	5	1	0	0	0.0011788696583304
HGNC:42950	ENSG00000235098	ANKRD65	45	3.349	1.2	5.0619e-09	1.961	45	2.10288888888889	101	1.70693069306931	4	0	0	0	1	1	1	0	0	NA
HGNC:37099	ENSG00000205116	TMEM88B	44	4.384	0.492	0.43487	1.605	30	2.2261	0	0	7	1	1	1	0	0	0	0	0	NA
HGNC:30910	ENSG00000179403	VWA1	44	8.021	1.338	0.0052878	1.066	89	1.90357303370787	105	3.34095238095238	1	7	4	1	1	1	1	0	0	0.0122922377058143
HGNC:32151	ENSG00000215915	ATAD3C	44	20.474	1.236	7.2718e-09	1.174	4	1.3575	99	2.07070707070707	1	0	0	0	6	3	1	0	0	0.036010462561047
HGNC:24007	ENSG00000160072	ATAD3B	41	26.083	1.947	1.0032e-22	1.477	122	2.28279508196721	21	0.257142857142857	2	0	0	0	8	4	1	0	0	0.00016882585584181
HGNC:25567	ENSG00000197785	ATAD3A	39	22.523	1.905	4.0861e-09	0.827	128	2.10975	74	1.54594594594595	1	0	0	0	9	5	1	0	0	0.00299331085075447
HGNC:25186	ENSG00000205090	TMEM240	39	5.846	0.522	0.22904	0.87	41	2.21487804878049	72	0.630555555555556	2	5	3	1	0	0	0	0	0	NA
HGNC:25016	ENSG00000160075	SSU72	39	33.19	0.585	0.77861	0.508	118	1.96918644067797	103	3.43300970873786	5	0	0	0	8	4	1	0	0	0.158869324880341
HGNC:42951	ENSG00000228594	FNDC10	39	2.123	0.681	0.11948	1.828	40	1.797775	100	2.644	0	3	2	1	0	0	0	0	0	NA
HGNC:30577	ENSG00000197530	MIB2	39	15.151	2.868	2.8024e-07	0.62	118	1.73763559322034	38	0.510526315789474	12	10	5	1	10	5	1	0	0	0.000830018036869676
HGNC:7171	ENSG00000189409	MMP23B	38	3.097	1.173	0.11732	1.834	32	2.2698125	59	0.68135593220339	7	0	0	0	0	0	0	0	0	NA
HGNC:1729	ENSG00000248333	CDK11B	38	19.872	2.388	6.4813e-05	0.678	129	2.75629457364341	0	0	1	0	0	0	6	3	1	0	0	0.0352436240582184
HGNC:33941	ENSG00000189339	SLC35E2B	37	33.244	1.218	0.0026282	0.964	127	2.37505511811024	41	0.44390243902439	0	0	0	0	3	2	1	0	0	NA
HGNC:1730	ENSG00000008128	CDK11A	36	21.978	2.352	1.385e-17	1.291	129	2.75629457364341	58	0.679310344827586	0	0	0	0	7	4	1	0	0	0.00170729948765423
HGNC:29831	ENSG00000008130	NADK	33	29.225	1.776	1.1284e-10	0.994	130	2.78463846153846	109	2.47339449541284	11	0	0	0	7	4	1	0	0	0.00922332984143524
HGNC:4396	ENSG00000078369	GNB1	24	105.832	1.023	0.9992	0.145	130	2.88466923076923	11	0.2	8	6	3	1	10	5	1	0	1	0.279663262664178
HGNC:24193	ENSG00000169885	CALML6	25	2.188	0.546	2.6089e-08	1.757	31	3.30970967741935	89	0.853932584269663	7	1	1	1	9	5	1	0	0	0.000159645664906913
HGNC:27916	ENSG00000178821	TMEM52	25	1.689	0.63	0.014909	1.614	129	2.72153488372093	91	0.896703296703297	2	3	2	1	0	0	0	0	0	0.0970483441935216
HGNC:29368	ENSG00000142609	CFAP74	21	81.886	4.92	8.7836e-11	0.793	23	3.36308695652174	105	1.41333333333333	0	0	0	0	1	1	1	0	0	NA
HGNC:4084	ENSG00000187730	GABRD	20	11.429	1.503	0.99345	0.245	2	6.623	104	3.66538461538462	3	1	1	1	3	2	1	0	1	0.223413946379569
HGNC:9412	ENSG00000067606	PRKCZ	21	134.984	1.779	0.541	0.4	81	3.59308641975309	98	2.26530612244898	18	7	4	1	10	5	1	0	0	0.0729189606813856
HGNC:26428	ENSG00000162585	FAAP20	18	28.259	0.588	0.52558	0.751	131	4.58428244274809	66	0.863636363636364	4	0	0	0	8	4	1	0	0	0.122397875589215
HGNC:10896	ENSG00000157933	SKI	17	81.894	2.187	0.99901	0.194	112	4.83608035714286	109	1.03853211009174	6	8	4	1	8	4	1	1	1	0.107066799327811
HGNC:25852	ENSG00000116151	MORN1	16	70.454	1.494	1.6137e-11	1.116	130	4.09576153846154	80	0.5125	4	3	2	1	1	1	1	0	0	0.000446679272358533
HGNC:30309	ENSG00000157916	RER1	16	13.667	0.591	0.37879	0.576	129	4.07516279069767	77	0.444155844155844	1	4	2	1	6	3	1	0	0	0.203771306507384
HGNC:8851	ENSG00000157911	PEX10	16	9.833	1.041	0.00054204	0.86	130	3.66515384615385	76	1.10789473684211	3	6	3	1	7	4	1	0	0	0.0147783517739619
HGNC:29037	ENSG00000149527	PLCH2	14	79.552	4.251	1.8065e-18	0.956	15	4.17953333333333	71	1.11830985915493	3	8	4	1	1	1	1	0	0	0.00117429196698467
HGNC:19366	ENSG00000157881	PANK4	13	18.06	2.322	0.98325	0.304	131	3.31776335877863	77	0.81038961038961	1	3	2	1	5	3	1	0	1	0.107649498266103
HGNC:19764	ENSG00000197921	HES5	13	1.518	0.501	0.24882	1.344	43	3.31679069767442	108	3.49814814814815	8	4	2	1	4	2	1	1	0	0.0938652691957198
HGNC:11912	ENSG00000157873	TNFRSF14	13	9.743	0.852	0.80752	0.443	117	3.30302564102564	110	3.51272727272727	24	8	4	1	8	4	1	0	0	0.189424979970565
HGNC:28390	ENSG00000157870	PRXL2B	13	4.978	0.741	1.5148e-05	1.517	129	3.16857364341085	105	3.41904761904762	3	9	5	1	3	2	1	0	0	0.0216711765377902
HGNC:14668	ENSG00000142606	MMEL1	13	42.377	2.34	1.2441e-22	0.997	21	3.7092380952381	109	3.88073394495413	4	1	1	1	1	1	1	0	0	0.000898142732365123
HGNC:34297	ENSG00000215912	TTC34	11	150.867	3.24	6.4816e-11	1.647	15	3.17406666666667	27	0.555555555555556	0	0	0	0	1	1	1	0	0	NA
HGNC:24026	ENSG00000169717	ACTRT2	8	1.436	1.134	0.0004766	1.377	6	3.1425	75	1.66933333333333	2	0	0	0	0	0	0	0	0	0.00256914277506465
HGNC:14000	ENSG00000142611	PRDM16	6	369.453	3.831	0.99999	0.187	33	3.76830303030303	103	8.98834951456311	3	8	4	1	7	4	1	1	1	0.371362374491332
HGNC:15515	ENSG00000130762	ARHGEF16	12	26.448	2.13	4.7056e-13	1.018	78	2.54055128205128	107	2.9981308411215	7	6	3	1	8	4	1	0	0	0.00129008323057628
HGNC:3232	ENSG00000162591	MEGF6	10	123.557	4.626	3.7965e-34	0.908	43	2.50295348837209	106	1.50566037735849	7	4	2	1	3	2	1	0	0	0.000963215272427204
HGNC:27007	ENSG00000158109	TPRG1L	10	5.112	0.819	8.4721e-07	1.486	126	2.66792857142857	49	0.240816326530612	1	0	0	0	1	1	1	0	0	5.29476695823843e-05
HGNC:12759	ENSG00000116213	WRAP73	10	21.994	1.383	1.4988e-06	0.797	108	2.57034259259259	74	0.402702702702703	2	2	1	1	8	4	1	0	0	0.00904352471908751
HGNC:12003	ENSG00000078900	TP73	10	83.685	1.911	0.99696	0.256	37	1.96645945945946	100	3.002	15	7	4	1	9	5	1	1	1	0.274422571746228
HGNC:26546	ENSG00000162592	CCDC27	10	25.185	1.971	2.8657e-28	1.433	3	1.71066666666667	54	0.42962962962963	2	0	0	0	1	1	1	0	0	0.00050473138419262
HGNC:44204	ENSG00000235169	SMIM1	10	3.233	0.237	0.032962	1.82	103	2.33591262135922	0	0	0	4	2	1	0	0	0	0	0	0.0718954953025588
HGNC:29207	ENSG00000130764	LRRC47	10	17.939	1.752	0.87056	0.407	124	1.92316935483871	1	0.2	1	0	0	0	5	3	1	0	0	0.0214517540984481
HGNC:24866	ENSG00000116198	CEP104	10	45.31	2.895	1.2281e-12	0.743	112	1.59272321428571	61	0.373770491803279	2	0	0	0	6	3	1	0	0	0.000493025213689758
HGNC:2773	ENSG00000169598	DFFB	10	28.162	1.089	1.1349e-05	1.08	112	1.59272321428571	50	0.664	2	0	0	0	7	4	1	0	0	0.000346738423286572
HGNC:27915	ENSG00000198912	C1orf174	10	11.168	0.732	0.0001068	1.405	87	1.21010344827586	13	0.369230769230769	1	0	0	0	3	2	1	0	0	0.00709525731328898
HGNC:30801	ENSG00000196581	AJAP1	0	137.925	1.236	0.99469	0.192	6	1.75466666666667	91	3.78681318681319	5	1	1	1	2	1	1	0	1	0.214442528812956
HGNC:19104	ENSG00000131697	NPHP4	11	129.662	4.281	1.743e-29	0.983	100	1.21891	74	0.991891891891892	1	3	2	1	10	5	1	0	0	0.00454312242450629
HGNC:6229	ENSG00000069424	KCNAB2	11	110.266	1.248	0.79978	0.385	99	1.31894949494949	102	4.06862745098039	9	10	5	1	9	5	1	0	0	0.328988570314562
HGNC:16816	ENSG00000116254	CHD5	18	78.534	5.865	1	0.157	8	1.487875	105	2.19428571428571	7	1	1	1	5	3	1	0	1	0.145717784638744
HGNC:10315	ENSG00000116251	RPL22	19	24.369	0.387	0.15619	1.036	111	1.48893693693694	0	0	12	0	0	0	10	5	1	0	0	0.0255638788080513
HGNC:32947	ENSG00000158286	RNF207	19	15.824	1.905	5.4736e-12	0.953	90	1.6838	93	1.33548387096774	3	0	0	0	2	1	1	0	0	0.00180526045977784
HGNC:5350	ENSG00000116237	ICMT	19	14.779	0.855	0.79377	0.45	118	1.76621186440678	107	1.35140186915888	2	0	0	0	5	3	1	0	0	0.213564621331802
HGNC:26226	ENSG00000173673	HES3	19	1.399	0.561	0.27711	1.246	16	2.8903125	108	2.87777777777778	1	0	0	0	0	0	0	1	0	0.0893793804621789
HGNC:23618	ENSG00000158292	GPR153	19	13.745	1.83	6.8764e-07	1.292	89	2.07586516853933	94	1.31063829787234	2	8	4	1	1	1	1	0	0	0.0192881902022471
HGNC:24157	ENSG00000097021	ACOT7	20	129.498	1.143	0.75926	0.434	126	1.75376984126984	109	3.18899082568807	20	5	3	1	5	3	1	0	0	0.207190224029127
HGNC:16005	ENSG00000069812	HES2	20	12.252	0.522	0.0026323	1.723	34	2.78908823529412	110	5.15090909090909	1	0	0	0	0	0	0	1	0	0.107514289682787
HGNC:13281	ENSG00000187017	ESPN	20	36.591	4.089	2.8667e-09	0.934	32	2.257125	108	3.27222222222222	16	0	0	0	3	2	1	0	0	0.0260190796152005
HGNC:11910	ENSG00000215788	TNFRSF25	20	5.389	1.281	0.0086475	0.598	34	2.18338235294118	96	1.86041666666667	2	0	0	0	6	3	1	0	0	0.0434103372663415
HGNC:29105	ENSG00000171680	PLEKHG5	18	52.952	3.318	3.3605e-06	0.565	87	2.29864367816092	107	3.35327102803738	13	8	4	1	8	4	1	0	0	0.000554816080565806
HGNC:26265	ENSG00000162408	NOL9	18	33.166	2.109	0.008884	0.549	125	1.58528	84	0.728571428571429	2	0	0	0	7	4	1	0	0	0.0142664444599078
HGNC:14448	ENSG00000173662	TAS1R1	18	24.448	2.526	7.3432e-14	1.174	93	1.37375268817204	86	0.844186046511628	3	0	0	0	2	1	1	0	0	0.000539568155065303
HGNC:4930	ENSG00000204859	ZBTB48	18	9.286	2.067	0.00011507	0.644	131	1.40338167938931	64	0.35	2	2	1	1	6	3	1	1	0	0.0367348719225729
HGNC:29041	ENSG00000162413	KLHL21	18	23.883	1.794	6.3071e-07	1.127	126	0.93734126984127	103	3.4368932038835	4	0	0	0	5	3	1	0	0	0.000276858639234415
HGNC:22983	ENSG00000116273	PHF13	18	10.299	0.903	0.98042	0.249	122	1.01910655737705	50	0.716	4	6	3	1	2	1	1	0	1	0.201270608686797
HGNC:20855	ENSG00000041988	THAP3	18	10.718	0.72	0.0072819	1.358	127	1.37251181102362	13	0.384615384615385	2	0	0	0	2	1	1	1	0	0.0142315440048276
HGNC:25570	ENSG00000007923	DNAJC11	17	67.756	1.68	0.99893	0.244	107	1.48871028037383	12	0.383333333333333	2	6	3	1	6	3	1	0	1	0.110925424655461
HGNC:18806	ENSG00000171735	CAMTA1	12	984.252	5.022	1	0.172	89	1.12310112359551	80	0.765	8	5	3	1	7	4	1	1	1	0.102213252953399
HGNC:12644	ENSG00000049245	VAMP3	5	10.136	0.303	0.0025882	1.269	113	1.59789380530973	9	0.533333333333333	1	0	0	0	10	5	1	0	0	0.00192442189757337
HGNC:8847	ENSG00000049246	PER3	5	60.886	3.633	1.3661e-17	0.841	109	1.62349541284404	54	0.37037037037037	7	9	5	1	5	3	1	0	0	0.000990869430233874
HGNC:12636	ENSG00000049247	UTS2	6	10.429	0.42	0.031612	1.271	8	2.857625	10	0.34	4	0	0	0	10	5	1	0	0	0.120703435138002
HGNC:11924	ENSG00000049249	TNFRSF9	6	27.294	0.768	0.32153	0.606	65	1.58492307692308	24	0.441666666666667	1	0	0	0	5	3	1	0	0	0.00773156639942683
HGNC:16369	ENSG00000116288	PARK7	6	31.214	0.57	0.75335	0.529	123	1.82526829268293	9	0.311111111111111	4	0	0	0	9	5	1	0	0	0.162680137198183
HGNC:18185	ENSG00000116285	ERRFI1	6	21.905	1.389	0.012152	0.881	123	3.88035772357724	106	3.18490566037736	8	10	5	1	8	4	1	0	0	0.00053533320239751
HGNC:17939	ENSG00000162426	SLC45A1	4	26.053	2.247	2.4761e-05	0.745	97	3.61631958762887	107	1.80560747663551	2	6	3	1	1	1	1	0	0	0.000191016217094524
HGNC:9965	ENSG00000142599	RERE	7	496.523	4.701	1	0.12	122	1.74884426229508	25	0.416	28	5	3	1	7	4	1	0	1	0.0745223874841261
HGNC:3350	ENSG00000074800	ENO1	7	18.19	1.305	1.914e-05	0.864	123	1.27434146341463	108	1.84444444444444	16	10	5	1	10	5	1	0	0	0.0110766642039315
HGNC:1380	ENSG00000131686	CA6	7	29.225	0.942	0.00035958	0.917	12	2.22333333333333	99	3.84040404040404	1	0	0	0	2	1	1	0	0	0.00339055192642805
HGNC:13445	ENSG00000197241	SLC2A7	7	23.45	1.539	5.5393e-21	1.669	8	2.649375	77	1.35064935064935	1	0	0	0	0	0	0	0	0	0.000274178092090431
HGNC:11010	ENSG00000142583	SLC2A5	8	53.372	1.506	3.5691e-10	1.191	92	1.72229347826087	105	3.85714285714286	15	0	0	0	1	1	1	0	0	0.000588070291502702
HGNC:23687	ENSG00000180758	GPR157	9	28.797	1.008	0.00097453	1.186	117	1.96742735042735	96	1.73333333333333	3	0	0	0	0	0	0	0	0	0.0473910204203022
HGNC:4795	ENSG00000049239	H6PD	10	36.563	2.409	8.5874e-09	0.941	125	2.168944	102	1.75098039215686	10	0	0	0	2	1	1	0	0	0.0020882090807694
HGNC:30628	ENSG00000171621	SPSB1	10	76.638	0.822	0.51982	0.594	111	2.78786486486487	87	5.66896551724138	1	8	4	1	10	5	1	0	0	0.0773792810024739
HGNC:29681	ENSG00000171612	SLC25A33	12	45.707	0.966	0.0059223	0.825	114	1.71472807017544	108	1.64814814814815	2	0	0	0	2	1	1	0	0	0.0022955549331933
HGNC:33719	ENSG00000188807	TMEM201	11	25.966	2.001	0.99004	0.286	126	1.72779365079365	86	1.44883720930233	5	6	3	1	3	2	1	0	1	0.254740959336737
HGNC:8977	ENSG00000171608	PIK3CD	10	77.383	3.207	0.99999	0.196	77	1.70127272727273	110	12.3618181818182	4	0	0	0	10	5	1	0	1	0.0764677937326748
HGNC:17447	ENSG00000171603	CLSTN1	9	95.058	2.946	0.97757	0.308	120	1.64076666666667	111	6.8036036036036	6	7	4	1	7	4	1	0	1	0.0612206321911313
HGNC:16913	ENSG00000178585	CTNNBIP1	10	62.06	0.246	0.024772	1.383	116	1.49233620689655	99	3.91313131313131	8	8	4	1	5	3	1	0	0	0.0227108333244485
HGNC:17497	ENSG00000162441	LZIC	12	21.294	0.573	0.0011711	1.14	118	1.59940677966102	79	0.524050632911392	3	2	1	1	2	1	1	0	0	0.0123577822935166
HGNC:17877	ENSG00000173614	NMNAT1	12	42.073	0.84	0.035353	0.877	118	1.59940677966102	75	0.584	1	0	0	0	7	4	1	0	0	0.000848528199524415
HGNC:30316	ENSG00000162444	RBP7	15	18.815	0.405	0.54133	0.732	36	1.47477777777778	78	0.951282051282051	5	0	0	0	2	1	1	0	0	0.12627779504294
HGNC:12500	ENSG00000130939	UBE4B	15	148.407	4.062	1	0.157	119	1.4239243697479	37	0.416216216216216	4	7	4	1	8	4	1	0	1	0.0748036845302315
HGNC:16636	ENSG00000054523	KIF1B	12	171.033	5.472	1	0.171	112	1.36949107142857	103	4.54757281553398	5	0	0	0	8	4	1	0	1	0.105554406941013
HGNC:8891	ENSG00000142657	PGD	12	21.919	1.452	0.98788	0.292	127	1.88217322834646	109	2.9045871559633	2	0	0	0	9	5	1	0	1	0.0462303243031108
HGNC:38843	ENSG00000251503	CENPS-CORT	11	22.051	0.495	5.75e-06	1.706	125	2.266632	7	0.228571428571429	0	0	0	0	0	0	0	0	0	0.00318760184848549
HGNC:23163	ENSG00000175279	CENPS	11	12.375	0.417	5.75e-06	1.706	125	2.266632	1	0.2	0	0	0	0	10	5	1	1	0	0.00321360585512415
HGNC:2257	ENSG00000241563	CORT	9	1.967	0.318	0.013143	1.941	13	1.30692307692308	45	0.44	8	0	0	0	10	5	1	0	0	NA
HGNC:2772	ENSG00000160049	DFFA	9	16.007	0.996	8.6585e-05	1.161	114	2.11789473684211	56	0.260714285714286	4	0	0	0	6	3	1	0	0	0.181507447735245
HGNC:8856	ENSG00000142655	PEX14	9	158.47	1.134	0.22566	0.518	110	2.00286363636364	5	0.28	2	1	1	1	8	4	1	0	0	0.036848942594671
HGNC:26002	ENSG00000130940	CASZ1	14	160.046	5.28	1	0.152	62	3.83343548387097	109	15.7743119266055	6	4	2	1	4	2	1	1	1	0.145208246159633
HGNC:26730	ENSG00000175262	C1orf127	9	35.566	2.472	1.4917e-11	1.041	16	2.22525	64	0.621875	0	1	1	1	0	0	0	0	0	0.00858849920919332
HGNC:11571	ENSG00000120948	TARDBP	9	18.184	1.245	0.98542	0.275	107	1.92497196261682	18	0.255555555555556	2	0	0	0	9	5	1	0	1	0.219525765378682
HGNC:6902	ENSG00000009724	MASP2	9	20.716	2.061	3.0428e-14	1.146	7	1.43842857142857	45	0.795555555555556	4	6	3	1	6	3	1	0	0	0.000235803621089265
HGNC:11296	ENSG00000116649	SRM	9	5.436	0.909	0.23479	0.571	128	2.06628125	82	0.631707317073171	7	9	5	1	7	4	1	0	0	0.0710024819329508
HGNC:9138	ENSG00000171824	EXOSC10	9	33.251	2.658	1.9676e-14	0.738	112	2.06491964285714	72	0.372222222222222	2	0	0	0	9	5	1	0	0	0.0130403320466629
HGNC:3942	ENSG00000198793	MTOR	16	156.016	7.65	1	0.185	113	1.88346017699115	15	0.226666666666667	2	5	3	1	10	5	1	0	1	0.092438053113781
HGNC:24078	ENSG00000171819	ANGPTL7	12	6.626	1.041	9.168e-17	1.75	26	2.42130769230769	40	0.52	1	8	4	1	1	1	1	0	0	0.000419385721216058
HGNC:30791	ENSG00000120942	UBIAD1	16	22.851	1.017	0.019529	1.026	122	1.87250819672131	86	0.458139534883721	3	0	0	0	3	2	1	0	0	0.0527663361710715
HGNC:29251	ENSG00000204624	DISP3	21	58.396	4.179	3.626e-08	0.548	94	2.20525531914894	104	4.30961538461538	3	0	0	0	2	1	1	0	0	0.024568533831437
HGNC:13581	ENSG00000116661	FBXO2	19	18.767	0.891	0.00021527	0.997	90	2.80938888888889	105	1.27238095238095	6	8	4	1	10	5	1	0	0	0.00839941500966864
HGNC:24847	ENSG00000132879	FBXO44	19	8.952	0.771	2.1091e-06	1.139	90	2.80938888888889	107	1.48224299065421	3	0	0	0	9	5	1	0	0	0.00157930754434628
HGNC:13585	ENSG00000116663	FBXO6	19	10.154	0.882	0.015153	0.841	115	2.57118260869565	101	0.968316831683168	4	0	0	0	10	5	1	0	0	0.0140951655144116
HGNC:6764	ENSG00000116670	MAD2L2	19	17.17	0.675	0.082082	0.717	131	2.42273282442748	106	3.48490566037736	8	8	4	1	8	4	1	0	0	0.0016036429154993
HGNC:25054	ENSG00000162490	DRAXIN	19	34.147	1.05	1.8935e-10	1.527	32	2.42965625	108	3.96481481481481	4	0	0	0	1	1	1	0	0	0.000343793538508934
HGNC:13539	ENSG00000177674	AGTRAP	20	18.718	0.48	0.18842	0.951	131	2.57029007633588	40	0.39	3	10	5	1	7	4	1	0	0	0.124471845864866
HGNC:25262	ENSG00000215910	C1orf167	20	27.798	4.35	9.1452e-34	1.052	28	3.427	42	0.304761904761905	2	2	1	1	0	0	0	0	0	NA
HGNC:7436	ENSG00000177000	MTHFR	18	20.732	2.094	3.2068e-10	0.922	131	2.46581679389313	109	4.12293577981651	9	0	0	0	5	3	1	0	0	0.00360679758323144
HGNC:2024	ENSG00000011021	CLCN6	18	41.983	2.862	6.1077e-08	0.608	131	2.46581679389313	59	0.633898305084746	2	0	0	0	2	1	1	0	0	0.0267377334827814
HGNC:7939	ENSG00000175206	NPPA	18	2.636	0.456	0.00054522	1.741	21	3.35833333333333	62	0.851612903225806	11	6	3	1	5	3	1	0	0	0.0158516790294904
HGNC:7940	ENSG00000120937	NPPB	18	1.481	0.405	9.8786e-06	1.862	19	2.20694736842105	86	2.45813953488372	3	5	3	1	4	2	1	0	0	0.000851647233519981
HGNC:28513	ENSG00000116685	KIAA2013	18	6.837	2.004	0.0097782	0.755	130	2.28829230769231	70	1.23428571428571	1	0	0	0	5	3	1	0	0	0.0266349496412365
HGNC:9081	ENSG00000083444	PLOD1	18	41.333	2.184	1.4837e-15	0.938	131	2.35254198473282	64	1.08125	2	10	5	1	6	3	1	0	0	0.00573521773040652
HGNC:16877	ENSG00000116688	MFN2	17	35.03	2.427	0.99415	0.282	131	2.13653435114504	96	2.22083333333333	5	7	4	1	7	4	1	0	1	0.111728410413567
HGNC:25715	ENSG00000116691	MIIP	17	12.579	1.167	1.3121e-20	1.737	131	2.57148091603053	68	0.558823529411765	2	8	4	1	3	2	1	0	0	0.000889224909675827
HGNC:11923	ENSG00000120949	TNFRSF8	17	80.904	1.788	0.86407	0.359	25	3.52816	106	4.64528301886792	15	5	3	1	7	4	1	0	0	0.0658938434841895
