ENSGID	CHR	START	END	TSS	STRAND	NAME	TYPE
ENSG00000157933	1	2158827	2241652	2158827	+	SKI	protein_coding
ENSG00000116151	1	2252692	2323146	2323146	-	MORN1	protein_coding
ENSG00000157916	1	2323214	2336881	2323214	+	RER1	protein_coding
ENSG00000157911	1	2335403	2345236	2345236	-	PEX10	protein_coding
ENSG00000149527	1	2357419	2436971	2357419	+	PLCH2	protein_coding
ENSG00000157881	1	2439976	2458036	2458036	-	PANK4	protein_coding
ENSG00000197921	1	2460184	2461702	2461702	-	HES5	protein_coding
ENSG00000157873	1	2487078	2496821	2487078	+	TNFRSF14	protein_coding
ENSG00000157870	1	2517930	2522908	2517930	+	PRXL2B	protein_coding
ENSG00000142606	1	2522078	2564455	2564455	-	MMEL1	protein_coding
ENSG00000215912	1	2568425	2718258	2718258	-	TTC34	protein_coding
ENSG00000169717	1	2938031	2939467	2938031	+	ACTRT2	protein_coding
ENSG00000142611	1	2985732	3355185	2985732	+	PRDM16	protein_coding
ENSG00000130762	1	3371229	3397677	3371229	+	ARHGEF16	protein_coding
ENSG00000162591	1	3404515	3528072	3528072	-	MEGF6	protein_coding
ENSG00000158109	1	3541579	3546691	3541579	+	TPRG1L	protein_coding
ENSG00000116213	1	3547331	3569325	3569325	-	WRAP73	protein_coding
ENSG00000078900	1	3569080	3652765	3569080	+	TP73	protein_coding
ENSG00000162592	1	3663024	3688209	3663024	+	CCDC27	protein_coding
ENSG00000235169	1	3689313	3692546	3689313	+	SMIM1	protein_coding
ENSG00000130764	1	3695123	3713062	3713062	-	LRRC47	protein_coding
ENSG00000116198	1	3728650	3773960	3773960	-	CEP104	protein_coding
ENSG00000169598	1	3773831	3801993	3773831	+	DFFB	protein_coding
ENSG00000198912	1	3805689	3816857	3816857	-	C1orf174	protein_coding
ENSG00000196581	1	4714669	4852594	4714669	+	AJAP1	protein_coding
ENSG00000131697	1	5922871	6052533	6052533	-	NPHP4	protein_coding
ENSG00000069424	1	6050987	6161253	6050987	+	KCNAB2	protein_coding
ENSG00000116254	1	6161847	6240381	6240381	-	CHD5	protein_coding
ENSG00000285629	1	6219490	6257817	6257817	-	ENSG00000285629	protein_coding
ENSG00000116251	1	6245080	6269449	6269449	-	RPL22	protein_coding
ENSG00000158286	1	6265535	6281359	6265535	+	RNF207	protein_coding
ENSG00000116237	1	6281253	6296032	6296032	-	ICMT	protein_coding
ENSG00000173673	1	6304239	6305638	6304239	+	HES3	protein_coding
ENSG00000158292	1	6307413	6321158	6321158	-	GPR153	protein_coding
ENSG00000097021	1	6324329	6453827	6453827	-	ACOT7	protein_coding
ENSG00000069812	1	6472478	6484730	6484730	-	HES2	protein_coding
ENSG00000187017	1	6484836	6521427	6484836	+	ESPN	protein_coding
ENSG00000215788	1	6520846	6526235	6526235	-	TNFRSF25	protein_coding
ENSG00000171680	1	6527182	6580134	6580134	-	PLEKHG5	protein_coding
ENSG00000162408	1	6581407	6614573	6614573	-	NOL9	protein_coding
ENSG00000173662	1	6615367	6639815	6615367	+	TAS1R1	protein_coding
ENSG00000204859	1	6640054	6649340	6640054	+	ZBTB48	protein_coding
ENSG00000162413	1	6650784	6674667	6674667	-	KLHL21	protein_coding
ENSG00000116273	1	6673791	6684090	6673791	+	PHF13	protein_coding
ENSG00000041988	1	6684928	6695646	6684928	+	THAP3	protein_coding
ENSG00000007923	1	6694228	6761984	6761984	-	DNAJC11	protein_coding
ENSG00000171735	1	6845514	7829766	6845514	+	CAMTA1	protein_coding
ENSG00000049245	1	7831356	7841492	7831356	+	VAMP3	protein_coding
ENSG00000049246	1	7844351	7905237	7844351	+	PER3	protein_coding
ENSG00000049247	1	7903143	7913572	7913572	-	UTS2	protein_coding
ENSG00000049249	1	7975931	8003225	8003225	-	TNFRSF9	protein_coding
ENSG00000116288	1	8014351	8045565	8014351	+	PARK7	protein_coding
ENSG00000116285	1	8064464	8086369	8086369	-	ERRFI1	protein_coding
ENSG00000162426	1	8378174	8404227	8378174	+	SLC45A1	protein_coding
ENSG00000142599	1	8412457	8908980	8908980	-	RERE	protein_coding
ENSG00000074800	1	8921059	8939249	8939249	-	ENO1	protein_coding
ENSG00000131686	1	9005926	9035151	9005926	+	CA6	protein_coding
ENSG00000197241	1	9063032	9086482	9086482	-	SLC2A7	protein_coding
ENSG00000142583	1	9095165	9148537	9148537	-	SLC2A5	protein_coding
ENSG00000180758	1	9160364	9189161	9189161	-	GPR157	protein_coding
ENSG00000049239	1	9294833	9331396	9294833	+	H6PD	protein_coding
ENSG00000171621	1	9352953	9429591	9352953	+	SPSB1	protein_coding
ENSG00000171612	1	9599524	9645231	9599524	+	SLC25A33	protein_coding
ENSG00000188807	1	9648969	9674935	9648969	+	TMEM201	protein_coding
ENSG00000171608	1	9689947	9789172	9689947	+	PIK3CD	protein_coding
ENSG00000171603	1	9788984	9884042	9884042	-	CLSTN1	protein_coding
ENSG00000178585	1	9908334	9970394	9970394	-	CTNNBIP1	protein_coding
ENSG00000162441	1	9982171	10003465	10003465	-	LZIC	protein_coding
ENSG00000173614	1	10003486	10045559	10003486	+	NMNAT1	protein_coding
ENSG00000162444	1	10057264	10076079	10057264	+	RBP7	protein_coding
ENSG00000130939	1	10092890	10241297	10092890	+	UBE4B	protein_coding
ENSG00000054523	1	10270628	10441661	10270628	+	KIF1B	protein_coding
ENSG00000142657	1	10458649	10480568	10458649	+	PGD	protein_coding
ENSG00000251503	1	10490159	10512210	10490159	+	CENPS-CORT	protein_coding
ENSG00000175279	1	10490490	10502865	10490490	+	CENPS	protein_coding
ENSG00000241563	1	10510088	10512055	10510088	+	CORT	protein_coding
ENSG00000160049	1	10516579	10532586	10532586	-	DFFA	protein_coding
ENSG00000142655	1	10532345	10690815	10532345	+	PEX14	protein_coding
ENSG00000130940	1	10696661	10856707	10856707	-	CASZ1	protein_coding
ENSG00000175262	1	11006528	11042133	11042133	-	C1orf127	protein_coding
ENSG00000120948	1	11072401	11090585	11072401	+	TARDBP	protein_coding
ENSG00000009724	1	11082066	11107296	11107296	-	MASP2	protein_coding
ENSG00000116649	1	11114641	11120077	11120077	-	SRM	protein_coding
ENSG00000171824	1	11126675	11159926	11159926	-	EXOSC10	protein_coding
ENSG00000198793	1	11166592	11322613	11322613	-	MTOR	protein_coding
ENSG00000171819	1	11249412	11256038	11249412	+	ANGPTL7	protein_coding
ENSG00000120942	1	11333255	11356106	11333255	+	UBIAD1	protein_coding
ENSG00000204624	1	11539212	11597608	11539212	+	DISP3	protein_coding
ENSG00000116661	1	11697075	11715842	11715842	-	FBXO2	protein_coding
ENSG00000132879	1	11714432	11723384	11714432	+	FBXO44	protein_coding
ENSG00000116670	1	11717287	11751868	11751868	-	MAD2L2	protein_coding
ENSG00000116663	1	11724257	11734411	11724257	+	FBXO6	protein_coding
ENSG00000162490	1	11751767	11785914	11751767	+	DRAXIN	protein_coding
ENSG00000177674	1	11796141	11814859	11796141	+	AGTRAP	protein_coding
ENSG00000215910	1	11821844	11849642	11821844	+	C1orf167	protein_coding
ENSG00000177000	1	11845780	11866512	11866512	-	MTHFR	protein_coding
ENSG00000011021	1	11866153	11908136	11866153	+	CLCN6	protein_coding
ENSG00000175206	1	11905766	11908402	11908402	-	NPPA	protein_coding
ENSG00000120937	1	11917521	11919002	11919002	-	NPPB	protein_coding
ENSG00000116685	1	11979648	11986485	11986485	-	KIAA2013	protein_coding
ENSG00000083444	1	11994262	12035595	11994262	+	PLOD1	protein_coding
ENSG00000116688	1	12040238	12075268	12040238	+	MFN2	protein_coding
ENSG00000116691	1	12079523	12092102	12079523	+	MIIP	protein_coding
ENSG00000120949	1	12123360	12204264	12123360	+	TNFRSF8	protein_coding
ENSG00000028137	1	12227048	12269285	12227048	+	TNFRSF1B	protein_coding
ENSG00000048707	1	12290087	12572099	12290087	+	VPS13D	protein_coding
ENSG00000162496	1	12627938	12680139	12680139	-	DHRS3	protein_coding
ENSG00000204518	1	12704104	12727087	12704104	+	AADACL4	protein_coding
ENSG00000188984	1	12776113	12788727	12776113	+	AADACL3	protein_coding
ENSG00000157330	1	12806148	12823847	12806148	+	CFAP107	protein_coding
ENSG00000116726	1	12833881	12838049	12833881	+	PRAMEF12	protein_coding
ENSG00000116721	1	12851546	12856777	12851546	+	PRAMEF1	protein_coding
ENSG00000204513	1	12884468	12891264	12891264	-	PRAMEF11	protein_coding
ENSG00000179172	1	12907230	12908573	12908573	-	HNRNPCL1	protein_coding
ENSG00000120952	1	12916941	12921764	12916941	+	PRAMEF2	protein_coding
ENSG00000243073	1	12939033	12946025	12946025	-	PRAMEF4	protein_coding
ENSG00000187545	1	12952727	12958101	12958101	-	PRAMEF10	protein_coding
ENSG00000204510	1	12976430	12980571	12976430	+	PRAMEF7	protein_coding
ENSG00000232423	1	12998302	13007406	13007406	-	PRAMEF6	protein_coding
ENSG00000204508	1	13035543	13038381	13035543	+	PRAMEF22	protein_coding
ENSG00000239810	1	13052394	13052998	13052998	-	WI2-3308P17.2	protein_coding
ENSG00000275774	1	13182960	13184326	13184326	-	HNRNPCL2	protein_coding
ENSG00000229571	1	13216356	13219581	13219581	-	PRAMEF26	protein_coding
ENSG00000204503	1	13328196	13331692	13331692	-	PRAMEF3	protein_coding
ENSG00000204502	1	13359819	13369057	13359819	+	PRAMEF5	protein_coding
ENSG00000182330	1	13386646	13390765	13390765	-	PRAMEF8	protein_coding
ENSG00000204501	1	13421176	13428191	13421176	+	PRAMEF9	protein_coding
ENSG00000279169	1	13447429	13452656	13452656	-	PRAMEF13	protein_coding
ENSG00000204491	1	13474689	13477522	13477522	-	PRAMEF18	protein_coding
ENSG00000204488	1	13495254	13498260	13495254	+	PRAMEF16	protein_coding
ENSG00000204486	1	13516066	13526943	13516066	+	PRAMEF21	protein_coding
ENSG00000157358	1	13641973	13648988	13641973	+	PRAMEF15	protein_coding
ENSG00000204481	1	13668269	13673511	13673511	-	PRAMEF14	protein_coding
ENSG00000204480	1	13694889	13698405	13698405	-	PRAMEF19	protein_coding
ENSG00000204479	1	13716092	13719089	13716092	+	PRAMEF17	protein_coding
ENSG00000204478	1	13736907	13747803	13736907	+	PRAMEF20	protein_coding
ENSG00000162494	1	13801441	13840498	13840498	-	LRRC38	protein_coding
ENSG00000162493	1	13909960	13944452	13909960	+	PDPN	protein_coding
ENSG00000116731	1	14026683	14151574	14026683	+	PRDM2	protein_coding
ENSG00000189337	1	14219287	15444539	14219287	+	KAZN	protein_coding
ENSG00000171729	1	15479028	15546974	15479028	+	TMEM51	protein_coding
ENSG00000142621	1	15563017	15726779	15563017	+	FHAD1	protein_coding
ENSG00000142634	1	15736384	15756835	15736384	+	EFHD2	protein_coding
ENSG00000162438	1	15764938	15775737	15764938	+	CTRC	protein_coding
ENSG00000142615	1	15783223	15798586	15783223	+	CELA2A	protein_coding
ENSG00000215704	1	15792404	15817890	15792404	+	CELA2B	protein_coding
ENSG00000132906	1	15817327	15853029	15853029	-	CASP9	protein_coding
ENSG00000116138	1	15853308	15918874	15853308	+	DNAJC16	protein_coding
ENSG00000116771	1	15898194	15911546	15911546	-	AGMAT	protein_coding
ENSG00000197312	1	15943953	15995539	15943953	+	DDI2	protein_coding
ENSG00000215695	1	15986208	15988528	15986208	+	RSC1A1	protein_coding
ENSG00000116786	1	16010815	16061264	16010815	+	PLEKHM2	protein_coding
ENSG00000162461	1	16062753	16067887	16062753	+	SLC25A34	protein_coding
ENSG00000162460	1	16068994	16074477	16068994	+	TMEM82	protein_coding
ENSG00000162458	1	16083102	16113089	16083102	+	FBLIM1	protein_coding
ENSG00000233954	1	16133664	16135843	16135843	-	UQCRHL	protein_coding
ENSG00000065526	1	16162590	16266951	16162590	+	SPEN	protein_coding
ENSG00000116809	1	16268364	16302627	16302627	-	ZBTB17	protein_coding
ENSG00000183888	1	16330731	16335302	16330731	+	SRARP	protein_coding
ENSG00000173641	1	16340523	16346089	16346089	-	HSPB7	protein_coding
ENSG00000186510	1	16345370	16360545	16345370	+	CLCNKA	protein_coding
ENSG00000184908	1	16366747	16383806	16366747	+	CLCNKB	protein_coding
ENSG00000185519	1	16384264	16400146	16400146	-	FAM131C	protein_coding
ENSG00000142627	1	16450832	16482564	16482564	-	EPHA2	protein_coding
ENSG00000142632	1	16524349	16539147	16539147	-	ARHGEF19	protein_coding
ENSG00000204377	1	16555368	16556038	16556038	-	C1orf134	protein_coding
ENSG00000132881	1	16558187	16563678	16563678	-	CPLANE2	protein_coding
ENSG00000037637	1	16573335	16678975	16678975	-	FBXO42	protein_coding
ENSG00000055070	1	16679070	16724640	16679070	+	SZRD1	protein_coding
ENSG00000187144	1	16713612	16763919	16763919	-	SPATA21	protein_coding
ENSG00000157191	1	16767216	16786573	16767216	+	NECAP2	protein_coding
ENSG00000268674	1	16865561	16866070	16865561	+	AL355149.2	protein_coding
ENSG00000219481	1	16888814	16940057	16940057	-	NBPF1	protein_coding
ENSG00000237847	1	16999498	17000007	16999498	+	AL137798.1	protein_coding
ENSG00000268991	1	17060447	17060956	17060956	-	AL021920.2	protein_coding
ENSG00000058453	1	17066768	17299459	17066768	+	CROCC	protein_coding
ENSG00000117122	1	17300997	17307127	17307127	-	MFAP2	protein_coding
ENSG00000159363	1	17312453	17338423	17338423	-	ATP13A2	protein_coding
ENSG00000288636	1	17331563	17338252	17338252	-	ENSG00000288636	protein_coding
ENSG00000117118	1	17345159	17380646	17380646	-	SDHB	protein_coding
ENSG00000117115	1	17393256	17445946	17445946	-	PADI2	protein_coding
ENSG00000142623	1	17531623	17572502	17531623	+	PADI1	protein_coding
ENSG00000142619	1	17575593	17610728	17575593	+	PADI3	protein_coding
ENSG00000159339	1	17634690	17690499	17634690	+	PADI4	protein_coding
ENSG00000269468	1	17655507	17676070	17676070	-	AC004824.2	protein_coding
ENSG00000276747	1	17698691	17728195	17698691	+	PADI6	protein_coding
ENSG00000179051	1	17733256	17766173	17766173	-	RCC2	protein_coding
ENSG00000074964	1	17866193	18024369	17866193	+	ARHGEF10L	protein_coding
ENSG00000117148	1	18081828	18153558	18081828	+	ACTL8	protein_coding
ENSG00000117154	1	18434292	18704977	18434292	+	IGSF21	protein_coding
ENSG00000179023	1	18807424	18812468	18807424	+	KLHDC7A	protein_coding
ENSG00000009709	1	18957340	19075360	18957340	+	PAX7	protein_coding
ENSG00000179002	1	19166093	19186154	19186154	-	TAS1R2	protein_coding
ENSG00000255275	1	19175767	19247615	19247615	-	RP13-279N23.2	protein_coding
ENSG00000159423	1	19197924	19229218	19229218	-	ALDH4A1	protein_coding
ENSG00000169991	1	19230774	19283170	19283170	-	IFFO2	protein_coding
ENSG00000127481	1	19401004	19536760	19536760	-	UBR4	protein_coding
ENSG00000127463	1	19542154	19578046	19578046	-	EMC1	protein_coding
ENSG00000053372	1	19578299	19586622	19578299	+	MRTO4	protein_coding
ENSG00000211454	1	19592476	19600688	19600688	-	AKR7L	protein_coding
ENSG00000162482	1	19609067	19615264	19615264	-	AKR7A3	protein_coding
ENSG00000053371	1	19628485	19638638	19638638	-	AKR7A2	protein_coding
ENSG00000040487	1	19638820	19655794	19638820	+	SLC66A1	protein_coding
ENSG00000077549	1	19665269	19812033	19812033	-	CAPZB	protein_coding
ENSG00000173436	1	19810897	19956315	19810897	+	MICOS10	protein_coding
ENSG00000158747	1	19923473	19984949	19923473	+	NBL1	protein_coding
ENSG00000270136	1	19923561	19983420	19923561	+	MICOS10-NBL1	protein_coding
ENSG00000158748	1	19991368	20007459	19991368	+	HTR6	protein_coding
ENSG00000162542	1	20008733	20126438	20126438	-	TMCO4	protein_coding
ENSG00000178828	1	20140522	20141776	20141776	-	RNF186	protein_coding
ENSG00000169914	1	20208888	20239438	20208888	+	OTUD3	protein_coding
ENSG00000188784	1	20246502	20250110	20250110	-	PLA2G2E	protein_coding
ENSG00000188257	1	20301924	20306909	20306909	-	PLA2G2A	protein_coding
ENSG00000127472	1	20354672	20418404	20354672	+	PLA2G5	protein_coding
ENSG00000117215	1	20438432	20446059	20446059	-	PLA2G2D	protein_coding
ENSG00000158786	1	20465816	20476874	20465816	+	PLA2G2F	protein_coding
ENSG00000187980	1	20487746	20513011	20513011	-	PLA2G2C	protein_coding
ENSG00000162543	1	20512589	20522543	20512589	+	UBXN10	protein_coding
ENSG00000158816	1	20617368	20686011	20617368	+	VWA5B1	protein_coding
ENSG00000162545	1	20808884	20812703	20812703	-	CAMK2N1	protein_coding
ENSG00000090432	1	20825941	20834644	20834644	-	MUL1	protein_coding
ENSG00000183114	1	20879066	20881513	20879066	+	FAM43B	protein_coding
ENSG00000158825	1	20915579	20945396	20915579	+	CDA	protein_coding
ENSG00000158828	1	20959951	20978004	20959951	+	PINK1	protein_coding
ENSG00000244038	1	20978260	20988037	20988037	-	DDOST	protein_coding
ENSG00000117245	1	20990507	21044510	21044510	-	KIF17	protein_coding
ENSG00000189410	1	21046224	21059330	21059330	-	SH2D5	protein_coding
ENSG00000127483	1	21066759	21113816	21113816	-	HP1BP3	protein_coding
ENSG00000075151	1	21132785	21503778	21503778	-	EIF4G3	protein_coding
ENSG00000117298	1	21543740	21672065	21672065	-	ECE1	protein_coding
ENSG00000142794	1	21766621	21811498	21766621	+	NBPF3	protein_coding
ENSG00000162551	1	21835890	21904903	21835890	+	ALPL	protein_coding
ENSG00000289715	1	21873897	21880495	21873897	+	ENSG00000289715	protein_coding
ENSG00000076864	1	21922714	21995850	21995850	-	RAP1GAP	protein_coding
ENSG00000090686	1	22004791	22110099	22110099	-	USP48	protein_coding
ENSG00000187942	1	22138758	22151718	22138758	+	LDLRAD2	protein_coding
ENSG00000142798	1	22148737	22263803	22263803	-	HSPG2	protein_coding
ENSG00000219073	1	22303515	22325135	22303515	+	CELA3B	protein_coding
ENSG00000142789	1	22328150	22339035	22328150	+	CELA3A	protein_coding
ENSG00000289694	1	22351635	22419436	22351635	+	ENSG00000289694	protein_coding
ENSG00000070831	1	22379120	22427853	22379120	+	CDC42	protein_coding
ENSG00000162552	1	22443806	22470462	22470462	-	WNT4	protein_coding
ENSG00000184677	1	22755331	22857650	22755331	+	ZBTB40	protein_coding
ENSG00000070886	1	22889982	22930088	22889982	+	EPHA8	protein_coding
ENSG00000173372	1	22961570	22966171	22961570	+	C1QA	protein_coding
ENSG00000289692	1	22962999	22970560	22962999	+	ENSG00000289692	protein_coding
ENSG00000159189	1	22969507	22974603	22969507	+	C1QC	protein_coding
ENSG00000173369	1	22979255	22988130	22979255	+	C1QB	protein_coding
ENSG00000133216	1	23037332	23247993	23037332	+	EPHB2	protein_coding
ENSG00000215906	1	23279536	23299359	23299359	-	LACTBL1	protein_coding
ENSG00000227868	1	23337327	23345593	23345593	-	TEX46	protein_coding
ENSG00000004487	1	23345936	23410182	23345936	+	KDM1A	protein_coding
ENSG00000169641	1	23410523	23504645	23504645	-	LUZP1	protein_coding
ENSG00000293565	1	23420819	23420869	23420869	-	ENSG00000293565	protein_coding
ENSG00000179546	1	23518388	23543995	23543995	-	HTR1D	protein_coding
ENSG00000125944	1	23630264	23670829	23670829	-	HNRNPR	protein_coding
ENSG00000125945	1	23685941	23696329	23696329	-	ZNF436	protein_coding
ENSG00000204219	1	23707402	23751241	23751241	-	TCEA3	protein_coding
ENSG00000088280	1	23755056	23811130	23811130	-	ASAP3	protein_coding
ENSG00000007968	1	23832930	23857725	23857725	-	E2F2	protein_coding
ENSG00000117318	1	23884417	23885992	23885992	-	ID3	protein_coding
ENSG00000142676	1	24018232	24023325	24018232	+	RPL11	protein_coding
ENSG00000011007	1	24069938	24088549	24069938	+	ELOA	protein_coding
ENSG00000057757	1	24104908	24114722	24104908	+	PITHD1	protein_coding
ENSG00000011009	1	24117600	24122029	24117600	+	LYPLA2	protein_coding
ENSG00000117308	1	24122089	24127271	24127271	-	GALE	protein_coding
ENSG00000117305	1	24128375	24165110	24165110	-	HMGCL	protein_coding
ENSG00000179163	1	24171567	24194780	24194780	-	FUCA1	protein_coding
ENSG00000188822	1	24197005	24239852	24239852	-	CNR2	protein_coding
ENSG00000189266	1	24283329	24289952	24283329	+	PNRC2	protein_coding
ENSG00000188529	1	24290837	24307417	24307417	-	SRSF10	protein_coding
ENSG00000142661	1	24382525	24438625	24438625	-	MYOM3	protein_coding
ENSG00000142677	1	24446261	24469630	24469630	-	IL22RA1	protein_coding
ENSG00000185436	1	24480658	24514449	24514449	-	IFNLR1	protein_coding
ENSG00000158055	1	24526048	24690972	24526048	+	GRHL3	protein_coding
ENSG00000001460	1	24683489	24743424	24743424	-	STPG1	protein_coding
ENSG00000001461	1	24742292	24801742	24742292	+	NIPAL3	protein_coding
ENSG00000117602	1	24828841	24867530	24828841	+	RCAN3	protein_coding
ENSG00000184454	1	24882578	24935819	24882578	+	NCMAP	protein_coding
ENSG00000133226	1	24958207	24999772	24958207	+	SRRM1	protein_coding
ENSG00000169504	1	25071873	25170812	25071873	+	CLIC4	protein_coding
ENSG00000020633	1	25226002	25291612	25291612	-	RUNX3	protein_coding
ENSG00000117614	1	25548767	25558993	25558993	-	SYF2	protein_coding
ENSG00000117616	1	25568740	25664704	25664704	-	RSRP1	protein_coding
ENSG00000187010	1	25598884	25656936	25598884	+	RHD	protein_coding
ENSG00000183726	1	25664808	25688852	25664808	+	TMEM50A	protein_coding
ENSG00000188672	1	25688740	25756683	25756683	-	RHCE	protein_coding
ENSG00000204178	1	25757349	25826700	25757349	+	MACO1	protein_coding
ENSG00000157978	1	25870095	25917691	25870095	+	LDLRAP1	protein_coding
ENSG00000117643	1	25943282	26110941	25943282	+	MAN1C1	protein_coding
ENSG00000162430	1	26126684	26144712	26126684	+	SELENON	protein_coding
ENSG00000255054	1	26137961	26150235	26137961	+	ENSG00000255054	protein_coding
ENSG00000117640	1	26145131	26159433	26145131	+	MTFR1L	protein_coding
ENSG00000127423	1	26158404	26185949	26185949	-	AUNIP	protein_coding
ENSG00000182749	1	26187975	26202199	26202199	-	PAQR7	protein_coding
ENSG00000117632	1	26210672	26233482	26233482	-	STMN1	protein_coding
ENSG00000158006	1	26286258	26324608	26324608	-	PAFAH2	protein_coding
ENSG00000158008	1	26346375	26362955	26346375	+	EXTL1	protein_coding
ENSG00000158014	1	26363743	26372609	26372609	-	SLC30A2	protein_coding
ENSG00000158022	1	26377792	26394927	26394927	-	TRIM63	protein_coding
ENSG00000175087	1	26437656	26452046	26437656	+	PDIK1L	protein_coding
ENSG00000197245	1	26485570	26490453	26485570	+	FAM110D	protein_coding
ENSG00000282872	1	26490592	26495454	26495454	-	C1orf232	protein_coding
ENSG00000236782	1	26496007	26498323	26498323	-	ZNF593OS	protein_coding
ENSG00000142684	1	26496399	26497364	26496399	+	ZNF593	protein_coding
ENSG00000142675	1	26503975	26516375	26503975	+	CNKSR1	protein_coding
ENSG00000188782	1	26517052	26529459	26517052	+	CATSPER4	protein_coding
ENSG00000130695	1	26560691	26605299	26560691	+	CEP85	protein_coding
ENSG00000142669	1	26606577	26608013	26606577	+	SH3BGRL3	protein_coding
ENSG00000158062	1	26607819	26644854	26644854	-	UBXN11	protein_coding
ENSG00000169442	1	26644449	26647014	26644449	+	CD52	protein_coding
ENSG00000176092	1	26648189	26686571	26686571	-	CRYBG2	protein_coding
ENSG00000176083	1	26688125	26701013	26701013	-	ZNF683	protein_coding
ENSG00000131914	1	26737308	26756219	26737308	+	LIN28A	protein_coding
ENSG00000117682	1	26758773	26797797	26758773	+	DHDDS	protein_coding
ENSG00000198830	1	26798931	26804700	26798931	+	HMGN2	protein_coding
ENSG00000117676	1	26856252	26901521	26856252	+	RPS6KA1	protein_coding
ENSG00000117713	1	27019727	27108595	27019727	+	ARID1A	protein_coding
ENSG00000060642	1	27113545	27127150	27113545	+	PIGV	protein_coding
ENSG00000204160	1	27153179	27184095	27153179	+	ZDHHC18	protein_coding
